brand,mfr,calories,protein,fat,sodium,fiber,carbs,sugar,price
Honeycombs,Post,160,2,1,190,1,35,13,4.35
Almond Cherrios,General Mills,220,4,6,220,3,41,15,4.71
Strawberry Cherrios,General Mills,150,3,2,115,3,32,8,4.71
Frosted Cherrios,General Mills,140,3,2,200,3,29,12,4.71
Raisins & Almonds Bran,General Mills,240,5,4,280,7,53,19,4.97
Chocolate Cheerios,General Mills,140,3,2,210,3,28,10,4.71
Cinnamon Cherrios,General Mills,220,4,5,230,3,42,15,4.71
Life,Quaker,160,4,2,170,3,33,9,6.41
All-Bran,Kelloggs,120,5,2,95,12,32,6,7.97
Berry Cheerios,General Mills,140,3,2,170,3,29,11,4.71
Cascadian Farm Organic Vanilla Crisp,Cascadian Farm,270,5,8,400,5,43,5,5.19
Grape Nuts,Post,150,4,2,210,5,35,7,5.31
Almond Honey Bunches of Oats,Post,170,3,3,180,2,34,9,4.35
Fiber One Honey,General Mills,170,4,2,200,10,45,10,5.97
Fiber One ,General Mills,90,3,1,140,18,34,10,5.97
Blueberry KASHI,Kashi,210,5,3,130,3,44,11,6.09
Banana Cherrios,General Mills,140,3,2,180,3,29,11,7.09
Chocolate Lucky Charms,General Mills,140,2,2,190,2,30,12,4.71
Oatmeal Crisp,Post,230,6,5,125,6,47,13,4.35
Oreo O's,Post,160,1,3,210,1,34,17,5.75
"Quaker Simply Granola, Oats, Honey & Almonds",Quaker,260,7,7,30,7,30,13,6.41
Honey Ohs,Post,170,1,3,240,0,34,17,4.31
Peanut Butter KASHI,Kashi,220,10,9,130,6,31,10,6.09
Chocolate KASHI,Kashi,210,10,7,120,6,32,10,6.09
Smart Start,Kelloggs,240,5,1,260,3,56,18,5.97
Strawberry Frosted Mini Wheats,Kelloggs,210,5,1,10,6,50,12,5.97
Cinnamon KASHI,Kashi,200,7,1,0,7,48,9,5.75
Honey Smacks,Kelloggs,130,2,1,45,2,32,18,5.97
Shredded Wheat,Publix,210,6,2,0,7,49,6,4.97
"Quaker Oatmeal Squares, Honey Nut",Quaker,210,6,3,190,5,44,10,6.41
Publix Raisin Bran,Publix,190,4,1,180,6,45,19,4.97
Cascadian Farm Raisin Bran,Cascadian Farm,210,5,2,290,7,50,16,5.19
Blueberry Chex,General Mills,170,2,4,250,1,33,8,5.97
Peanut Butter Cap'n Crunch,Quaker,170,3,4,300,1,32,13,6.41
Golden Crisp,Post,150,2,1,85,0,34,21,4.35
