name,mfr,calories,protein,fat,sodium,fiber,carbs,sugar
Honeycomb,Post,160,2,1,190,1,35,13
Cheerios w/almonds,General Mills,220,4,6,220,3,41,15
Cheerios w/strawberries,General Mills,150,3,2,115,3,32,8
Cherrios Frosted,General Mills,140,3,2,200,3,29,12
Raisins & Almonds Bran,General Mills,240,5,4,280,7,53,19
Chocolate Cheerios,General Mills,140,3,2,210,3,28,10
Cheerios Cinammon,General Mills,220,4,5,230,3,42,15
Life,Quaker,160,4,2,170,3,33,9
All-Bran,Kelloggs,120,5,2,95,12,32,6
Cheeriosw/berries,General Mills,140,3,2,170,3,29,11
Cascadian Farm Organic Vanilla Crisp,Cascadian Farm,270,5,8,400,5,43,5
GreenWise Cereal Organic Raisin Bran,GreenWise,120,3,1,65,5,28,5
Grape-Nuts Grape-Nuts,Post,150,4,2,210,5,35,7
Honey Bunches Of Oats w/ Almonds,Post,170,3,3,180,2,34,9
Fiber One w/ Honey Clusters,General Mills,170,4,2,200,10,45,10
Fiber One ,General Mills,90,3,1,140,18,34,0
KASHI w/blueberries,Kashi,210,5,3,130,3,44,11
Total Wheat Flakes Crunchy Whole Grain,General Mills,140,3,1,190,4,33,6
Cheerios w/bananas ,General Mills,140,3,2,180,3,29,11
Lucky Charms w/chocolate,General Mills,140,2,2,190,2,30,12
Oatmeal Crisp,Post,230,6,5,125,6,47,13
Oreo O's,Post,160,1,3,210,1,34,17
"Quaker Simply Granola, Oats, Honey & Almonds",Quaker,260,7,7,30,7,30,13
Honey Ohs,Post,170,1,3,240,0,34,17
Kashi w/peanut butter,Kashi,220,10,9,130,6,31,10
Kashi w/chocolate,Kashi,210,10,7,120,6,32,10
Smart Start,Kelloggs,240,5,1,260,3,56,18
Cream Of Rice,Other,150,2,0,0,0,35,0
Frosted Mini-Wheats w/Strawberry,Kelloggs,210,5,1,10,6,50,12
KASHI w/cinnamon,Kashi,200,7,1,0,7,48,9
Honey Smacks,Kelloggs,130,2,1,45,2,32,18
Shredded Wheat,Publix,210,6,2,0,7,49,6
"Quaker Oatmeal Squares, Honey Nut",Quaker,210,6,3,190,5,44,10
"Shredded Wheat, Wheat 'N Bran",Post,210,7,2,0,8,49,7
Mueslix Cereal Raisins Dates Almonds,Kelloggs,250,6,4,150,5,50,17
All-Bran Buds Breakfast Cereal,Kelloggs,110,5,2,300,17,36,12
Publix Raisin Bran,Publix,190,4,1,180,6,45,19
Cascadian Farm Raisin Bran,Cascadian Farm,210,5,2,290,7,50,16
Kashi Breakfast w/berries,Kashi,190,7,1,0,6,47,9
Chex  w/Blueberry,General Mills,170,2,4,250,1,33,8
Cap'n Crunch Cereal  Peanut Butter Crunch,Quaker,170,3,4,300,1,32,13
GreenWise Organic Peanut Butter Choco Dots,GreenWise,150,2,2,200,2,31,10
"Golden Crisp Cereal, Sweetened Puffed Wheat",Post,150,2,1,85,0,34,21
Cracklin' Oat Bran Breakfast ,Kelloggs,230,4,8,65,7,41,15
Kashi Go ,Kashi,200,11,2,140,12,43,8
"Grape-Nuts Cereal, The Original",Post,200,6,1,280,7,47,5
Cascadian Farm Cereal Honey Oat Crunch,Cascadian Farm,250,5,3,240,3,54,11
Cookie Crisp Cereal Chocolate Chip,General Mills,140,2,2,190,2,31,12
Cap'n Crunch Fruit Cereal,Quaker,200,7,2,310,1,41,25
"Corn Pops Sweetened Corn Cereal, Sweet Crispy Crunch",Kelloggs,150,2,0,160,0,36,15
"Honey Bunches Of Oats Cereal, Vanilla",Post,160,3,2,190,2,34,9
"Publix Cereal, Toasted Rice, Crispy Rice",Publix,150,3,0,210,0,34,4
Cascadian Farm Cereal Organic Cinnamon Crunch,Cascadian Farm,140,2,3,140,3,29,11
"Publix Cereal, Toasted Grain, Cornflakes",Publix,150,3,0,230,1,35,4
Frosted Krispies Cereal Toasted Rice Sweetened,Kelloggs,150,2,0,125,0,35,15
Kellogg's Cocoa Krispies,Kelloggs,150,2,1,170,1,35,15
"Quaker Simply Granola, Oats, Honey, Raisins & Almonds",Quaker,270,7,7,35,7,51,16
"Publix Cereal, Toasted Oats",Publix,160,4,3,230,3,31,2
Special K Cereal Vanilla & Almond Family Size,Kelloggs,150,3,2,220,3,33,11
Special K Cereal Cinnamon & Pecan,Kelloggs,160,10,3,270,3,33,10
Kashi Go Cerea Toasted Berry Crisp,Kashi,200,9,5,140,9,37,12
Krave Cereal Chocolate Family Size,Kelloggs,170,3,5,140,2,32,15
Quaker Oatmeal Squares Brown Sugar Crunchy Oat Cereal,Quaker,210,6,3,190,5,44,9
Chex Cereal Chocolate,General Mills,180,2,4,270,2,36,11
"Publix Cereal, Almonds & Oats, Sweetened Multigrain",Publix,170,3,3,170,,36,8
"Honey Bunches Of Oats Cereal, with Real Strawberries",Post,160,3,2,170,2,34,11
Kashi Go Cereal Honey Almond Flax Crunch,Kashi,200,9,5,140,8,35,12
"Great Grains Cereal, Raisins, Dates & Pecans",Post,200,4,4,140,4,40,13
"Great Grains Cereal, Banana Nut Crunch",Post,230,6,5,240,7,45,10
Chex Cereal Cinnamon,General Mills,160,2,4,230,2,33,8
Chex Corn Cereal Honey Nut,General Mills,170,2,1,270,2,38,12
Froot Loops Multigrain Cereal with Marshmallows Sweetened,Kelloggs,150,2,1,170,2,35,17
"Great Grains Cereal, Blueberry Nut Crunch",Post,220,4,3,150,4,48,16
Cinnamon Toast Crunch Cereal Churros,General Mills,180,3,5,230,3,32,11
"Publix Cereal, Wheat, Bran Flakes",Publix,120,4,1,230,7,31,6
Trix Sweetened Corn Puffs Fruit Flavored 6 Fruity Shapes,General Mills,160,2,2,180,1,33,12
100 Bran,Other,70,4,1,130,10,5,6
100% Natural Bran,Quaker,120,3,5,15,2,8,8
All-Bran,Kelloggs,70,4,1,260,9,7,5
All-Bran with Extra Fiber,Kelloggs,50,4,0,140,14,8,0
Almond Delight,Other,110,2,2,200,1,14,8
Apple Cinnamon Cheerios,General Mills,110,2,2,180,2,11,10
Apple Jacks,Kelloggs,110,2,0,125,1,11,14
Basic 4,General Mills,130,3,2,210,2,18,8
Bran Chex,Other,90,2,1,200,4,15,6
Bran Flakes,Post,90,3,0,210,5,13,5
"Cap’n Crunch’s, Large Size, Crunch Berries Naturally & Artificially Flavored, Sweetened Corn & Oat Cereal",Quaker,150,2,2,270,1,32,16
Cap'n'Crunch,Quaker,150,1,2,220,0,12,12
Basic 4 Multigrain Cereal with Fruit & Almonds,General Mills,200,4,2,270,5,44,12
Cheerios Cereal Frosted Whole Grain Large Size,General Mills,140,3,2,200,3,29,12
Cinnamon Toast Crunch,General Mills,170,2,3,230,0,33,12
Cocoa Pebbles Chocolate Flavored,Post,140,2,1,220,1,31,12
Cocoa Puffs,General Mills,140,1,1,130,0,12,12
Corn Chex,Other,110,2,0,280,0,22,3
Corn Flakes,Kelloggs,150,2,0,300,1,36,4
Corn Pops,Kelloggs,110,1,0,90,1,13,12
Count Chocula,General Mills,110,1,1,180,0,12,13
Cracklin' Oat Bran,Kelloggs,110,3,3,140,4,10,7
"Publix Cereal, Honeynut",Publix,140,3,2,190,2,30,12
Cream of Wheat Quick,Other,120,3,0,100,1,25,1
Crispix,Kelloggs,110,2,0,220,1,21,3
Crispy Wheat & Raisins,General Mills,100,2,1,140,2,11,10
Double Chex,Other,100,2,0,190,1,18,5
Froot Loops,Kelloggs,150,2,1,210,1,34,12
Frosted Flakes,Kelloggs,130,1,0,200,1,12,11
Frosted Mini-Wheats,Kelloggs,210,3,0,10,3,51,12
Fruit & Fibre Dates; Walnuts; and Oats,Post,120,3,2,160,5,12,10
Fruitful Bran,Kelloggs,120,3,0,240,5,14,12
Fruity Pebbles,Post,110,1,1,135,0,13,12
Golden Crisp,Post,100,2,0,45,0,11,15
Golden Grahams,General Mills,150,1,1,300,0,34,12
Grape Nuts Flakes,Post,100,3,1,140,3,15,5
Grape-Nuts,Post,110,3,0,170,3,17,3
Great Grains Pecan,Post,120,3,3,75,3,13,4
Honey Graham Ohs,Quaker,120,1,2,220,1,12,12
Honey Nut Cheerios,General Mills,140,3,1,210,2,12,10
Honey Bunches Of Oats Cereal with Almonds,Post,170,3,1,180,1,33,9
"Honey Bunches Of Oats Cereal, Honey Roasted",Post,160,3,1,190,1,34,9
Honey-comb,Post,110,1,0,180,0,14,11
Just Right Crunchy  Nuggets,Kelloggs,110,2,1,170,1,17,6
Just Right Fruit & Nut,Kelloggs,140,3,1,170,2,20,9
Kix,General Mills,110,2,1,260,0,21,3
"Life Cereal, Multigrain, Cinnamon, Large Size",Quaker,160,4,1,170,1,33,10
Life,Quaker,100,4,2,150,2,12,8
Lucky Charms,General Mills,160,2,1,170,0,12,12
Maypo,Other,100,4,1,0,0,33,3
Muesli Raisins Dates Almonds,Other,150,4,3,95,3,16,11
Muesli Raisins Peaches Pecans,Other,150,4,3,150,3,16,11
Mueslix Crispy Blend,Kelloggs,160,3,2,150,3,17,13
Multi-Grain Cheerios,General Mills,100,2,1,220,2,15,6
Nut&Honey Crunch,Kelloggs,120,2,1,190,0,15,9
Nutri-Grain Almond-Raisin,Kelloggs,140,3,2,220,3,21,7
Nutri-grain Wheat,Kelloggs,90,3,0,170,3,18,2
Oatmeal Raisin Crisp,General Mills,130,3,2,170,2,14,10
Post Nat. Raisin Bran,Post,120,3,1,200,6,11,14
Product 19,Kelloggs,100,3,0,320,1,20,3
Puffed Rice,Quaker,50,1,0,0,0,13,0
Puffed Wheat,Quaker,50,2,0,0,1,10,0
Quaker Oat Squares,Quaker,100,4,1,135,2,14,6
Quaker Oatmeal,Quaker,100,5,2,0,3,-1,-1
Raisin Bran,Kelloggs,190,3,1,200,5,47,17
Raisin Bran Crunch,Kelloggs,190,4,1,200,4,46,19
Raisin Nut Bran,General Mills,100,3,2,140,3,11,8
Raisin Squares,Kelloggs,90,2,0,0,2,15,6
Reese's Puffs Corn Puffs Sweet & Crunchy Peanut Butter,General Mills,160,1,1,220,2,30,12
Rice Chex,General Mills,160,1,0,330,0,35,3
Rice Krispies,Kelloggs,110,2,0,290,0,22,3
Shredded Wheat,Other,80,2,0,0,3,16,0
Shredded Wheat Bran,Other,90,3,0,0,4,19,0
Shredded Wheat spoon size,Other,90,3,0,0,3,20,0
Smacks,Kelloggs,110,2,1,70,1,9,15
"Special K Cereal, Vanilla & Almond",Kelloggs,150,3,1,220,1,33,11
Special K Cereal Kellogg's Special K Breakfast Cereal Chocolatey Delight,Kelloggs,160,3,2,260,1,34,12
Special K Cereal Original Multi-Grain Touch of Cinnamon,Kelloggs,210,15,1,260,5,39,8
Special K Cereal Fruit & Yogurt,Kelloggs,160,3,0,190,3,36,13
Special K,Kelloggs,110,6,0,230,1,16,3
Strawberry Fruit Wheats,Other,90,2,0,15,3,15,5
Total Corn Flakes,General Mills,110,2,1,200,0,21,3
Total Raisin Bran,General Mills,140,3,1,190,4,15,14
Total Whole Grain,General Mills,100,3,1,200,3,16,3
Triples,General Mills,110,2,1,250,0,21,3
Trix,General Mills,110,1,1,140,0,13,12
Wheat Chex,Other,100,3,1,230,3,17,3
Wheaties,General Mills,130,3,1,240,3,17,5
Wheaties Honey Gold,General Mills,110,2,1,200,1,16,8
Kellogg's Special K Red Berries ,Kelloggs,140,3,0,250,3,11,11
